Sat Nov 30 13:49:01 2024    profile_output.prof

         173992666 function calls (171435864 primitive calls) in 60.404 seconds

   Ordered by: cumulative time
   List reduced from 1534 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    73320    0.097    0.000    1.181    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/frame.py:5242(_sanitize_column)
13028/12126    0.007    0.000    1.159    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/concurrent/futures/_base.py:337(_invoke_callbacks)
   157310    0.106    0.000    1.145    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/array_algos/take.py:59(take_nd)
     1790    0.044    0.000    1.122    0.001 /Users/sdrasco/Desktop/EdgeWalker/src/models.py:70(calculate_escape_ratio)
     5652    0.008    0.000    1.118    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:506(nested_data_to_arrays)
    14244    0.012    0.000    1.117    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/sslproto.py:675(_write_appdata)
   105039    0.095    0.000    1.114    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/frame.py:3983(_ixs)
    14244    0.012    0.000    1.097    0.000 /opt/homebrew/Cellar/python@3.13/3.13.0_1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/sslproto.py:699(_do_write)
   134750    0.117    0.000    1.073    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/internals/blocks.py:1287(take_nd)
     5652    0.010    0.000    1.054    0.000 /Users/sdrasco/Desktop/EdgeWalker/venv/lib/python3.13/site-packages/pandas/core/internals/construction.py:793(to_arrays)


